dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,49.250408,5.170718,0.001522,0.152174,7.608696,380.434783,2.356194
0.020000,49.250408,5.170718,0.001522,0.000000,-7.608696,-760.869565,2.356194
0.020000,49.249486,5.171641,0.002826,0.065217,3.260870,543.478261,2.356194
0.020000,49.232269,5.188857,0.027174,1.217391,57.608696,2717.391304,2.356194
0.020000,49.205368,5.215758,0.065217,1.902174,34.239130,-1168.478261,2.356194
0.020000,49.166631,5.254495,0.120000,2.739130,41.847826,380.434783,2.356194
0.020000,49.114982,5.306145,0.193043,3.652174,45.652174,190.217391,2.356194
0.020000,49.050420,5.370707,0.284348,4.565217,45.652174,0.000000,2.356194
0.020000,48.972946,5.448181,0.393913,5.478261,45.652174,0.000000,2.356194
0.020000,48.882559,5.538568,0.521739,6.391304,45.652174,0.000000,2.356194
0.020000,48.779260,5.641867,0.667826,7.304348,45.652174,-0.000000,2.356194
0.020000,48.663048,5.758078,0.832174,8.217391,45.652174,-0.000000,2.356194
0.020000,48.533924,5.887202,1.014783,9.130435,45.652174,0.000000,2.356194
0.020000,48.391888,6.029238,1.215652,10.043478,45.652174,-0.000000,2.356194
0.020000,48.236940,6.184187,1.434783,10.956522,45.652174,0.000000,2.356194
0.020000,48.069079,6.352048,1.672174,11.869565,45.652174,0.000000,2.356194
0.020000,47.888305,6.532821,1.927826,12.782609,45.652174,-0.000000,2.356194
0.020000,47.694619,6.726507,2.201739,13.695652,45.652174,0.000000,2.356194
0.020000,47.488021,6.933105,2.493913,14.608696,45.652174,-0.000000,2.356194
0.020000,47.268511,7.152616,2.804348,15.521739,45.652174,0.000000,2.356194
0.020000,47.036088,7.385039,3.133043,16.434783,45.652174,0.000000,2.356194
0.020000,46.790753,7.630374,3.480000,17.347826,45.652174,-0.000000,2.356194
0.020000,46.532505,7.888622,3.845217,18.260870,45.652174,0.000000,2.356194
0.020000,46.262421,8.158706,4.227174,19.097826,41.847826,-190.217391,2.356194
0.020000,45.982652,8.438474,4.622826,19.782609,34.239130,-380.434783,2.356194
0.020000,45.695352,8.725775,5.029130,20.315217,26.630435,-380.434783,2.356194
0.020000,45.402671,9.018455,5.443043,20.695652,19.021739,-380.434783,2.356194
0.020000,45.106762,9.314364,5.861522,20.923913,11.413043,-380.434783,2.356194
0.020000,44.809778,9.611349,6.281522,21.000000,3.804348,-380.434783,2.356194
0.020000,44.512793,9.908334,6.701522,21.000000,0.000000,-190.217391,2.356194
0.020000,44.215808,10.205319,7.121522,21.000000,0.000000,0.000000,2.356194
0.020000,43.918823,10.502303,7.541522,21.000000,-0.000000,-0.000000,2.356194
0.020000,43.621838,10.799288,7.961522,21.000000,0.000000,0.000000,2.356194
0.020000,43.324853,11.096273,8.381522,21.000000,0.000000,0.000000,2.356194
0.020000,43.027868,11.393258,8.801522,21.000000,-0.000000,-0.000000,2.356194
0.020000,42.730884,11.690243,9.221522,21.000000,0.000000,0.000000,2.356194
0.020000,42.433899,11.987228,9.641522,21.000000,-0.000000,-0.000000,2.356194
0.020000,42.136914,12.284213,10.061522,21.000000,0.000000,0.000000,2.356194
