dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,60.829282,16.749592,0.001522,0.152174,7.608696,380.434783,2.356194
0.020000,60.829282,16.749592,0.001522,0.000000,-7.608696,-760.869565,2.356194
0.020000,60.828359,16.750514,0.002826,0.065217,3.260870,543.478261,2.356194
0.020000,60.811143,16.767731,0.027174,1.217391,57.608696,2717.391304,2.356194
0.020000,60.784242,16.794632,0.065217,1.902174,34.239130,-1168.478261,2.356194
0.020000,60.745505,16.833369,0.120000,2.739130,41.847826,380.434783,2.356194
0.020000,60.693855,16.885018,0.193043,3.652174,45.652174,190.217391,2.356194
0.020000,60.629293,16.949580,0.284348,4.565217,45.652174,-0.000000,2.356194
0.020000,60.551819,17.027054,0.393913,5.478261,45.652174,0.000000,2.356194
0.020000,60.461432,17.117441,0.521739,6.391304,45.652174,0.000000,2.356194
0.020000,60.358133,17.220740,0.667826,7.304348,45.652174,-0.000000,2.356194
0.020000,60.241922,17.336952,0.832174,8.217391,45.652174,0.000000,2.356194
0.020000,60.112798,17.466076,1.014783,9.130435,45.652174,-0.000000,2.356194
0.020000,59.970762,17.608112,1.215652,10.043478,45.652174,0.000000,2.356194
0.020000,59.815813,17.763060,1.434783,10.956522,45.652174,-0.000000,2.356194
0.020000,59.647952,17.930921,1.672174,11.869565,45.652174,0.000000,2.356194
0.020000,59.467179,18.111695,1.927826,12.782609,45.652174,0.000000,2.356194
0.020000,59.273493,18.305381,2.201739,13.695652,45.652174,-0.000000,2.356194
0.020000,59.066895,18.511979,2.493913,14.608696,45.652174,0.000000,2.356194
0.020000,58.847384,18.731489,2.804348,15.521739,45.652174,-0.000000,2.356194
0.020000,58.614961,18.963912,3.133043,16.434783,45.652174,0.000000,2.356194
0.020000,58.369626,19.209247,3.480000,17.347826,45.652174,-0.000000,2.356194
0.020000,58.111378,19.467495,3.845217,18.260870,45.652174,-0.000000,2.356194
0.020000,57.841294,19.737579,4.227174,19.097826,41.847826,-190.217391,2.356194
0.020000,57.561526,20.017348,4.622826,19.782609,34.239130,-380.434783,2.356194
0.020000,57.274225,20.304648,5.029130,20.315217,26.630435,-380.434783,2.356194
0.020000,56.981545,20.597329,5.443043,20.695652,19.021739,-380.434783,2.356194
0.020000,56.685636,20.893238,5.861522,20.923913,11.413043,-380.434783,2.356194
0.020000,56.388651,21.190222,6.281522,21.000000,3.804348,-380.434783,2.356194
0.020000,56.091666,21.487207,6.701522,21.000000,0.000000,-190.217391,2.356194
0.020000,55.794681,21.784192,7.121522,21.000000,0.000000,0.000000,2.356194
0.020000,55.497697,22.081177,7.541522,21.000000,-0.000000,-0.000000,2.356194
0.020000,55.200712,22.378162,7.961522,21.000000,0.000000,0.000000,2.356194
0.020000,54.903727,22.675147,8.381522,21.000000,-0.000000,-0.000000,2.356194
0.020000,54.606742,22.972132,8.801522,21.000000,0.000000,0.000000,2.356194
0.020000,54.309757,23.269116,9.221522,21.000000,0.000000,-0.000000,2.356194
0.020000,54.012772,23.566101,9.641522,21.000000,0.000000,0.000000,2.356194
0.020000,53.715787,23.863086,10.061522,21.000000,-0.000000,-0.000000,2.356194
0.020000,53.418803,24.160071,10.481522,21.000000,-0.000000,-0.000000,2.356194
0.020000,53.121818,24.457056,10.901522,21.000000,0.000000,0.000000,2.356194
0.020000,52.824833,24.754041,11.321522,21.000000,-0.000000,-0.000000,2.356194
0.020000,52.527848,25.051025,11.741522,21.000000,0.000000,0.000000,2.356194
0.020000,52.230863,25.348010,12.161522,21.000000,-0.000000,-0.000000,2.356194
0.020000,51.933878,25.644995,12.581522,21.000000,0.000000,0.000000,2.356194
0.020000,51.636894,25.941980,13.001522,21.000000,-0.000000,-0.000000,2.356194
0.020000,51.339909,26.238965,13.421522,21.000000,0.000000,0.000000,2.356194
0.020000,51.042924,26.535950,13.841522,21.000000,0.000000,-0.000000,2.356194
0.020000,50.746298,26.832576,14.261014,20.974638,-1.268116,-63.405797,2.356194
0.020000,50.451465,27.127409,14.677971,20.847826,-6.340580,-253.623188,2.356194
0.020000,50.160578,27.418296,15.089348,20.568841,-13.949275,-380.434783,2.356194
0.020000,49.875788,27.703086,15.492101,20.137681,-21.557971,-380.434783,2.356194
0.020000,49.599247,27.979626,15.883188,19.554348,-29.166667,-380.434783,2.356194
0.020000,49.333109,28.245765,16.259565,18.818841,-36.775362,-380.434783,2.356194
0.020000,49.079165,28.499708,16.618696,17.956522,-43.115942,-317.028986,2.356194
0.020000,48.838134,28.740739,16.959565,17.043478,-45.652174,-126.811594,2.356194
0.020000,48.610015,28.968858,17.282174,16.130435,-45.652174,0.000000,2.356194
0.020000,48.394809,29.184065,17.586522,15.217391,-45.652174,0.000000,2.356194
0.020000,48.192515,29.386359,17.872609,14.304348,-45.652174,-0.000000,2.356194
0.020000,48.003133,29.575740,18.140435,13.391304,-45.652174,-0.000000,2.356194
0.020000,47.826664,29.752210,18.390000,12.478261,-45.652174,0.000000,2.356194
0.020000,47.663107,29.915766,18.621304,11.565217,-45.652174,-0.000000,2.356194
0.020000,47.512463,30.066411,18.834348,10.652174,-45.652174,0.000000,2.356194
0.020000,47.374731,30.204143,19.029130,9.739130,-45.652174,0.000000,2.356194
0.020000,47.249911,30.328963,19.205652,8.826087,-45.652174,-0.000000,2.356194
0.020000,47.138003,30.440870,19.363913,7.913043,-45.652174,0.000000,2.356194
0.020000,47.039009,30.539865,19.503913,7.000000,-45.652174,-0.000000,2.356194
0.020000,46.952926,30.625948,19.625652,6.086957,-45.652174,0.000000,2.356194
0.020000,46.879756,30.699118,19.729130,5.173913,-45.652174,-0.000000,2.356194
0.020000,46.819498,30.759376,19.814348,4.260870,-45.652174,0.000000,2.356194
0.020000,46.772153,30.806721,19.881304,3.347826,-45.652174,-0.000000,2.356194
0.020000,46.737361,30.841513,19.930507,2.460145,-44.384058,63.405797,2.356194
0.020000,46.713688,30.865185,19.963986,1.673913,-39.311594,253.623188,2.356194
0.020000,46.698982,30.879891,19.984783,1.039855,-31.702899,380.434783,2.356194
0.020000,46.691091,30.887782,19.995942,0.557971,-24.094203,380.434783,2.356194
0.020000,46.687863,30.891010,20.000507,0.228261,-16.485507,380.434783,2.356194
0.020000,46.687146,30.891728,20.001522,0.050725,-8.876812,380.434783,2.356194
0.020000,46.687146,30.891728,20.001522,0.000000,-2.536232,317.028986,2.356194
